Customer ID,Name,City,Purchase Amount,Purchase Date,Product Category,Payment Method,Rating
1,Customer_1,Phoenix,3108.28,2022-01-01 00:00:00,Home,PayPal,4.0
2,Customer_2,Houston,4302.3,2022-01-01 01:00:00,Electronics,Credit Card,3.0
3,Customer_3,Chicago,202.89,2022-01-01 02:00:00,Clothing,Cash,3.0
4,Customer_4,Los Angeles,4454.77,2022-01-01 03:00:00,Home,PayPal,1.0
5,Customer_5,Houston,4444.55,2022-01-01 04:00:00,Home,Cash,4.0
6,Customer_6,Los Angeles,4164.04,2022-01-01 05:00:00,Home,PayPal,2.0
7,Customer_7,New York,2508.34,2022-01-01 06:00:00,Clothing,Cash,2.0
8,Customer_8,Los Angeles,1856.93,2022-01-01 07:00:00,Home,Cash,2.0
9,Customer_9,New York,1941.95,2022-01-01 08:00:00,Books,PayPal,5.0
10,Customer_10,Los Angeles,1104.5,2022-01-01 09:00:00,Home,Credit Card,4.0
11,Customer_11,Houston,1237.42,2022-01-01 10:00:00,Home,Credit Card,5.0
12,Customer_12,Chicago,307.72,2022-01-01 11:00:00,Home,Credit Card,3.0
13,Customer_13,Los Angeles,1187.19,2022-01-01 12:00:00,Books,Credit Card,3.0
14,Customer_14,New York,4834.71,2022-01-01 13:00:00,Clothing,PayPal,3.0
15,Customer_15,Phoenix,794.86,2022-01-01 14:00:00,Books,Credit Card,5.0
16,Customer_16,New York,4445.55,2022-01-01 15:00:00,Books,PayPal,2.0
17,Customer_17,Houston,4662.98,2022-01-01 16:00:00,Books,Credit Card,4.0
18,Customer_18,Phoenix,3907.9,2022-01-01 17:00:00,Electronics,PayPal,3.0
19,Customer_19,Chicago,3857.35,2022-01-01 18:00:00,Clothing,Credit Card,5.0
20,Customer_20,Houston,801.26,2022-01-01 19:00:00,Electronics,Credit Card,3.0
21,Customer_21,New York,4687.04,2022-01-01 20:00:00,Books,Credit Card,2.0
22,Customer_22,Phoenix,3495.74,2022-01-01 21:00:00,Electronics,Credit Card,4.0
23,Customer_23,Houston,4161.45,2022-01-01 22:00:00,Clothing,PayPal,3.0
24,Customer_24,Houston,1029.13,2022-01-01 23:00:00,Electronics,PayPal,4.0
25,Customer_25,Houston,4457.97,2022-01-02 00:00:00,Home,Credit Card,4.0
26,Customer_26,Chicago,3907.06,2022-01-02 01:00:00,Home,PayPal,5.0
27,Customer_27,Phoenix,,2022-01-02 02:00:00,Books,Cash,3.0
28,Customer_28,Phoenix,1014.83,2022-01-02 03:00:00,Books,PayPal,1.0
29,Customer_29,New York,1293.63,2022-01-02 04:00:00,Clothing,Cash,2.0
30,Customer_30,Los Angeles,844.16,2022-01-02 05:00:00,Clothing,Credit Card,2.0
31,Customer_31,Chicago,4658.6,2022-01-02 06:00:00,Books,PayPal,2.0
32,Customer_32,Houston,3222.72,2022-01-02 07:00:00,Books,Cash,1.0
33,Customer_33,Chicago,4521.06,2022-01-02 08:00:00,Books,PayPal,3.0
34,Customer_34,Los Angeles,2592.57,2022-01-02 09:00:00,Electronics,PayPal,5.0
35,Customer_35,Houston,2925.85,2022-01-02 10:00:00,Home,Cash,3.0
36,Customer_36,,2892.84,2022-01-02 11:00:00,Electronics,Credit Card,1.0
37,Customer_37,Chicago,2286.17,2022-01-02 12:00:00,Electronics,Credit Card,2.0
38,Customer_38,New York,1232.42,2022-01-02 13:00:00,Clothing,Cash,3.0
39,Customer_39,Los Angeles,764.42,2022-01-02 14:00:00,Electronics,Cash,1.0
40,Customer_40,Phoenix,3235.42,2022-01-02 15:00:00,Books,Cash,3.0
41,Customer_41,New York,4791.85,2022-01-02 16:00:00,Books,Cash,3.0
42,Customer_42,Chicago,508.1,2022-01-02 17:00:00,Books,Credit Card,3.0
43,Customer_43,Houston,645.42,2022-01-02 18:00:00,Electronics,Cash,3.0
